Listing date,Ticker,Company,IPO valuation,30-Nov-25,All time return
30-Mar-21,NSE:NAZARA,Nazara Technologies Ltd,"3,350 ","9,032 ",170%
23-Jul-21,NSE:ETERNAL,Eternal Ltd,"60,263 ","290,959 ",383%
20-Aug-21,NSE:CARTRADE,Cartrade Tech Ltd,"7,416 ","14,642 ",97%
10-Nov-21,NSE:NYKAA,Fsn E-Commerce Ventures Ltd,"53,346 ","75,853 ",42%
15-Nov-21,NSE:POLICYBZR,PB Fintech Ltd,"44,025 ","85,597 ",94%
18-Nov-21,NSE:PAYTM,One 97 Communications Ltd,"139,379 ","87,445 ",-37%
17-Dec-21,NSE:RATEGAIN,Rategain Travel Technologies Ltd,"4,537 ","8,130 ",79%
21-Dec-21,NSE:MAPMYINDIA,CE Info Systems Ltd,"5,500 ","9,111 ",66%
24-May-22,NSE:DELHIVERY,Delhivery,"35,284 ","31,222 ",-12%
20-Oct-22,NSE:TRACXN,Tracxn Technologies Ltd,802 ,479 ,-40%
7-Jul-23,NSE:IDEAFORGE,ideaForge Technology Ltd,"2,882 ","1,996 ",-31%
22-Sep-23,NSE:ZAGGLE,Zaggle Prepaid Ocean Services Ltd,"2,009 ","5,183 ",158%
28-Sep-23,NSE:YATRA,Yatra Online Ltd,"2,228 ","2,850 ",28%
7-Nov-23,NSE:HONASA,Honasa Consumer Ltd,"10,506 ","9,318 ",-11%
23-Jan-24,NSE:MEDIASSIST,Medi Assist Healthcare Services Ltd,"2,878 ","3,571 ",24%
15-May-24,NSE:TBOTEK,Tbo Tek Ltd,"9,988 ","18,288 ",83%
23-May-24,NSE:GODIGIT,Go Digit General Insurance Ltd,"24,948 ","32,799 ",31%
30-May-24,NSE:AWFIS,Awfis Space Solutions Ltd,"2,659 ","3,754 ",41%
18-Jun-24,NSE:IXIGO,Le Travenues Technology Ltd,"3,628 ","11,522 ",218%
9-Aug-24,NSE:OLAELEC,Ola Electric Mobility Ltd,"33,522 ","17,904 ",-47%
13-Aug-24,NSE:FIRSTCRY,Brainbees Solutions Ltd,"24,142 ","15,673 ",-35%
13-Aug-24,NSE:UNIECOM,Unicommerce eSolutions Ltd,"1,106 ","1,395 ",26%
13-Nov-24,NSE:SWIGGY,Swiggy Ltd,"87,301 ","88,865 ",2%
18-Dec-24,NSE:MOBIKWIK,One MobiKwik Systems Ltd,"2,167 ","1,815 ",-16%
6-May-25,NSE:ATHERENERG,Ather Energy Ltd,"11,956 ","27,036 ",126%
19-Aug-25,NSE:BLUESTONE,Bluestone Jewellery and Lifestyle Ltd,"7,823 ","8,469 ",8%
17-Sep-25,NSE:URBANCO,Urban Company Ltd,"14,790 ","19,534 ",32%
10-Nov-25,NSE:LENSKART,Lenskart Solutions Ltd,"69,727 ","74,670 ",7%
12-Nov-25,NSE:GROWW,Billionbrains Garage Ventures Ltd,"61,736 ","97,129 ",57%
14-Nov-25,NSE:PINELABS,Pine Labs Ltd,"25,377 ","28,209 ",11%
18-Nov-25,NSE:PWL,Physicswallah Ltd,"31,527 ","38,957 ",24%
21-Nov-25,NSE:CAPILLARY,Capillary Technologies India Ltd,"4,576 ","4,969 ",9%
10-Dec-25,NSE:MEESHO,,0 ,,
