Date,Nifty 50,Nifty 50 (base to 100),India Venture index
31-Mar-21,"14,690.70 ",100 ,100 
30-Jun-21,"15,721.50 ",107 ,102 
30-Sep-21,"17,618.15 ",120 ,129 
31-Dec-21,"17,354.05 ",118 ,124 
31-Mar-22,"17,464.75 ",119 ,74 
30-Jun-22,"15,780.25 ",107 ,64 
30-Sep-22,"17,094.35 ",116 ,67 
31-Dec-22,"18,197.45 ",124 ,68 
31-Mar-23,"17,359.75 ",118 ,68 
30-Jun-23,"19,189.05 ",131 ,89 
30-Sep-23,"19,528.75 ",133 ,102 
31-Dec-23,"21,741.90 ",148 ,106 
31-Mar-24,"22,462.00 ",153 ,123 
30-Jun-24,"24,141.95 ",164 ,136 
30-Sep-24,"25,810.85 ",176 ,163 
31-Dec-24,"23,644.80 ",161 ,169 
31-Mar-25,"23,165.70 ",158 ,126 
30-Jun-25,"25,517.05 ",174 ,168 
30-Sep-25,"24,611.10 ",168 ,186 
31-Dec-25,,,
